Size (bp),A2,A3,A4,A5
266.37,3.64,3.79,0.86,10.27
267.00,3.54,2.93,1.09,10.42
267.63,3.90,2.07,1.90,10.58
268.27,4.25,1.17,2.71,10.66
268.90,5.67,0.27,3.49,10.74
269.54,6.40,0.13,4.26,10.82
270.17,7.12,0.00,4.39,11.38
270.81,7.46,0.87,4.52,11.95
271.44,7.81,1.07,4.31,12.46
272.08,7.48,1.26,4.11,12.98
272.71,7.15,1.07,4.09,12.31
273.35,6.21,0.87,4.07,11.64
273.98,5.28,0.75,4.27,10.58
274.62,3.39,0.62,4.39,9.52
275.25,2.82,1.03,4.50,8.46
275.88,2.24,1.45,4.85,7.42
276.52,1.89,3.35,5.19,6.38
277.15,1.54,4.02,5.30,6.12
277.79,1.51,4.69,5.42,5.85
278.42,1.49,4.36,4.52,5.44
279.06,2.48,4.04,3.62,5.03
279.69,3.02,3.29,2.26,4.61
280.33,3.56,2.55,0.89,3.48
280.96,3.64,2.42,0.00,2.34
281.60,3.72,2.28,0.68,1.64
282.23,3.43,3.09,1.37,0.94
282.87,3.13,3.31,2.31,0.82
283.50,2.66,3.53,3.25,0.70
284.13,2.20,3.48,3.92,0.59
284.77,1.46,3.42,4.59,0.49
285.40,1.39,3.59,4.89,0.38
286.04,1.32,3.76,5.20,0.19
286.67,1.48,4.34,5.12,0.00
287.31,1.64,4.92,5.05,0.12
287.94,1.87,5.84,4.84,0.25
288.58,2.09,5.59,5.17,0.49
289.21,2.15,5.34,5.51,0.73
289.85,1.88,4.78,6.22,0.72
290.48,1.60,4.23,6.94,0.71
291.12,1.50,4.40,7.50,0.70
291.75,1.39,4.58,8.07,0.47
292.38,1.78,5.59,8.02,0.23
293.02,2.17,6.60,7.97,0.12
293.65,2.43,8.33,7.45,0.00
294.29,2.68,8.24,6.94,0.00
294.92,1.79,8.14,6.37,0.00
295.56,1.07,7.09,6.66,0.00
296.19,0.35,6.05,6.96,1.01
296.83,0.17,4.84,7.51,2.02
297.46,0.00,3.62,8.07,3.87
298.10,0.00,3.10,8.52,5.72
298.73,0.00,2.58,8.97,7.41
299.37,0.00,3.14,9.01,9.10
300.00,0.00,3.67,9.05,9.31
301.00,0.00,4.20,8.44,9.52
301.75,0.00,4.39,7.84,9.72
302.50,0.00,4.59,5.83,8.28
303.25,0.00,4.48,4.99,6.84
304.00,0.00,4.38,4.14,4.71
304.75,0.00,4.51,3.71,2.58
305.50,0.00,4.63,3.29,1.72
306.25,0.00,5.43,3.29,0.86
307.00,0.00,5.55,3.30,0.00
307.75,0.00,5.68,3.76,-0.30
308.50,0.00,5.27,4.21,-0.61
309.25,0.00,4.86,5.49,-0.30
310.00,0.09,4.34,5.80,0.00
310.75,0.18,3.81,6.11,0.00
311.50,1.26,3.73,6.00,0.00
312.25,1.86,3.66,5.88,-0.35
313.00,2.46,4.45,5.45,-0.71
313.75,2.64,4.86,5.02,-1.06
314.50,2.83,5.28,4.27,-2.40
315.25,2.56,5.29,3.53,-3.73
316.00,2.30,5.31,2.98,-4.97
316.75,1.75,4.91,2.43,-6.20
317.50,1.93,4.51,3.05,-6.91
318.25,2.12,3.66,4.00,-7.62
319.00,2.72,3.42,4.95,-7.78
319.75,3.32,3.18,5.81,-7.94
320.50,3.69,2.78,6.66,-8.10
321.25,4.06,2.38,6.99,-7.76
322.00,3.87,1.72,7.31,-7.41
322.75,3.67,1.07,6.97,-6.55
323.50,2.95,0.64,6.62,-5.69
324.25,2.80,0.22,5.82,-5.17
325.00,2.65,0.39,5.02,-4.65
325.75,2.65,0.66,3.59,-4.13
326.50,2.66,0.92,3.19,-3.86
327.25,2.70,1.03,2.79,-3.60
328.00,2.75,1.14,2.58,-3.80
328.75,2.78,1.30,2.38,-4.00
329.50,2.77,1.47,2.48,-4.72
330.25,2.76,2.18,2.59,-5.44
331.00,2.96,2.90,3.07,-6.31
331.75,3.16,5.21,3.55,-7.18
332.50,3.62,5.83,3.91,-8.05
333.25,4.08,6.45,4.27,-9.45
334.00,4.51,5.87,4.01,-10.86
334.75,4.21,5.29,3.80,-11.80
335.50,3.90,4.21,3.58,-12.75
336.25,3.48,3.13,3.70,-13.09
337.00,3.05,2.72,3.83,-13.43
337.75,2.83,2.30,4.07,-13.78
338.50,2.61,2.77,4.30,-14.16
339.25,2.63,2.67,4.08,-14.54
340.00,2.64,2.57,3.85,-14.82
340.75,3.40,1.85,2.95,-15.09
341.50,4.03,1.13,2.06,-14.91
342.25,4.65,0.56,0.29,-14.73
343.00,5.04,0.00,0.14,-14.08
343.75,5.43,0.20,0.00,-13.42
344.50,5.39,0.39,0.00,-12.77
345.25,5.36,1.61,0.00,-11.27
346.00,4.95,1.89,0.00,-9.77
346.75,4.79,2.17,0.00,-8.47
347.50,4.64,2.02,0.00,-7.18
348.25,4.41,1.86,0.00,-6.21
349.00,4.18,1.86,0.00,-5.24
349.75,3.74,1.86,0.00,-4.55
350.50,3.30,2.30,0.37,-3.86
351.25,2.87,2.73,0.94,-3.17
352.00,2.44,3.55,1.52,-2.23
352.75,2.12,3.41,2.02,-1.28
353.50,2.12,3.28,2.53,-0.64
354.25,2.12,2.70,2.59,0.00
355.00,1.92,2.11,2.66,0.64
355.75,1.73,1.64,2.27,1.28
356.50,1.23,1.17,1.87,1.92
357.25,0.74,1.28,0.65,2.84
358.00,0.00,1.39,0.32,3.76
358.75,0.18,2.37,0.00,3.90
359.50,0.36,2.65,0.16,4.05
360.25,0.96,2.92,0.32,3.24
361.00,1.56,2.68,1.06,2.43
361.75,1.96,2.44,1.79,1.80
362.50,2.37,1.80,2.45,1.17
363.25,2.37,1.17,3.11,0.54
364.00,2.37,0.59,3.04,0.27
364.75,2.33,0.00,2.98,0.00
365.50,2.65,0.18,1.94,0.07
366.25,2.97,1.09,1.82,0.14
367.00,3.41,2.00,1.71,0.22
367.75,3.85,3.08,2.12,0.30
368.50,3.92,4.15,2.53,0.38
369.25,4.00,4.72,2.94,0.26
370.00,3.20,5.28,3.36,0.14
370.75,2.63,5.33,3.75,0.07
371.50,2.06,5.37,4.15,0.00
372.25,1.76,5.13,4.70,0.34
373.00,1.46,4.91,5.26,0.68
373.75,1.75,4.68,6.10,0.98
374.50,2.04,4.20,6.21,1.28
375.25,3.65,3.72,6.32,1.57
376.00,4.55,3.27,6.39,1.46
376.75,5.46,2.81,6.47,1.35
377.50,5.98,2.77,6.44,0.85
378.25,6.50,2.72,6.41,0.35
379.00,6.32,3.19,5.97,0.18
379.75,6.14,3.59,5.53,0.00
380.50,5.37,3.98,4.79,0.04
381.25,4.59,4.58,4.06,0.07
382.00,3.03,5.17,3.07,0.11
382.75,2.80,5.42,3.14,0.09
383.50,2.56,5.68,3.21,0.08
384.25,2.93,5.26,3.62,0.04
385.00,3.29,4.85,4.03,0.00
385.75,3.96,4.07,4.21,0.00
386.50,4.62,4.14,4.38,0.00
387.25,5.79,4.22,3.96,0.00
388.00,6.06,4.19,3.53,0.17
388.75,6.33,4.15,2.66,0.33
389.50,6.47,3.72,1.79,0.90
390.25,6.60,3.29,0.28,1.47
